iter	Passed	Remaining
0	147	147068
1	148	73951
2	149	49658
3	150	37429
4	151	30056
5	152	25192
6	153	21709
7	153	19072
8	154	17047
9	155	15442
10	157	14126
11	158	13046
12	159	12094
13	160	11288
14	161	10615
15	162	10003
16	163	9462
17	164	8986
18	165	8547
19	166	8171
20	167	7821
21	169	7514
22	169	7209
23	170	6944
24	171	6706
25	173	6489
26	174	6285
27	175	6088
28	175	5891
29	177	5731
30	178	5565
31	179	5417
32	180	5277
33	181	5145
34	182	5022
35	183	4905
36	184	4798
37	185	4698
38	186	4598
39	187	4503
40	188	4414
41	189	4327
42	190	4247
43	192	4174
44	192	4095
45	193	4023
46	195	3954
47	196	3888
48	197	3824
49	198	3763
50	199	3709
51	200	3648
52	201	3593
53	202	3542
54	203	3494
55	204	3447
56	205	3397
57	206	3351
58	207	3310
59	208	3267
60	209	3226
61	210	3186
62	211	3149
63	212	3112
64	213	3075
65	214	3041
66	215	3003
67	216	2969
68	217	2937
69	218	2907
70	220	2879
71	221	2850
72	222	2822
73	223	2797
74	224	2770
75	225	2742
76	226	2716
77	227	2691
78	228	2665
79	229	2641
80	231	2621
81	232	2599
82	233	2578
83	234	2554
84	235	2533
85	236	2512
86	237	2492
87	238	2474
88	240	2457
89	241	2437
90	242	2417
91	243	2399
92	244	2380
93	245	2364
94	246	2347
95	247	2331
96	248	2310
97	249	2294
98	250	2278
99	251	2263
100	252	2248
101	253	2232
102	254	2218
103	255	2204
104	257	2191
105	258	2177
106	259	2162
107	260	2148
108	261	2134
109	262	2122
110	263	2110
111	264	2097
112	265	2086
113	266	2073
114	267	2061
115	269	2050
116	270	2040
117	271	2029
118	272	2014
119	273	2002
120	274	1992
121	275	1981
122	276	1970
123	277	1959
124	278	1950
125	279	1940
126	280	1929
127	281	1920
128	283	1913
129	284	1904
130	285	1893
131	286	1886
132	288	1877
133	289	1869
134	290	1861
135	291	1849
136	292	1840
137	293	1831
138	294	1824
139	295	1816
140	296	1807
141	297	1799
142	298	1789
143	299	1782
144	300	1774
145	302	1767
146	303	1760
147	304	1752
148	305	1745
149	306	1738
150	307	1731
151	308	1723
152	310	1716
153	310	1707
154	311	1700
155	312	1692
156	313	1682
157	314	1676
158	315	1669
159	316	1662
160	318	1657
161	319	1652
162	320	1646
163	321	1640
164	323	1634
165	324	1628
166	325	1622
167	326	1614
168	327	1608
169	327	1600
170	328	1593
171	329	1588
172	331	1583
173	331	1574
174	332	1569
175	334	1564
176	335	1560
177	337	1556
178	338	1551
179	339	1545
180	340	1539
181	341	1534
182	342	1529
183	343	1524
184	344	1518
185	345	1513
186	346	1506
187	347	1500
188	348	1495
189	349	1491
190	350	1484
191	351	1478
192	352	1473
193	353	1468
194	354	1463
195	355	1458
196	356	1452
197	357	1449
198	358	1443
199	359	1438
200	360	1433
201	361	1429
202	362	1425
203	364	1420
204	365	1415
205	366	1411
206	367	1407
207	368	1402
208	369	1397
209	370	1393
210	371	1388
211	372	1384
212	373	1380
213	374	1376
214	376	1373
215	377	1369
216	378	1365
217	379	1362
218	381	1359
219	382	1355
220	383	1351
221	384	1347
222	385	1344
223	386	1340
224	388	1336
225	389	1333
226	390	1328
227	391	1325
228	392	1321
229	393	1318
230	395	1315
231	396	1311
232	397	1308
233	398	1305
234	399	1301
235	401	1298
236	402	1294
237	403	1291
238	404	1287
239	405	1284
240	406	1279
241	407	1275
242	408	1272
243	409	1268
244	410	1265
245	411	1262
246	412	1259
247	414	1255
248	415	1252
249	416	1248
250	417	1244
251	418	1241
252	419	1237
253	420	1235
254	421	1232
255	422	1228
256	423	1225
257	425	1222
258	426	1219
259	427	1215
260	428	1213
261	429	1210
262	430	1206
263	431	1203
264	432	1200
265	433	1196
266	434	1193
267	436	1190
268	437	1188
269	438	1185
270	439	1181
271	440	1179
272	441	1176
273	442	1173
274	444	1170
275	445	1168
276	446	1165
277	447	1162
278	448	1159
279	449	1156
280	450	1153
281	452	1151
282	453	1148
283	454	1146
284	455	1143
285	456	1140
286	458	1137
287	459	1135
288	460	1132
289	461	1130
290	462	1127
291	464	1125
292	465	1122
293	466	1119
294	467	1116
295	468	1114
296	469	1111
297	470	1108
298	471	1106
299	472	1103
300	473	1100
301	475	1098
302	476	1095
303	477	1093
304	478	1090
305	479	1087
306	480	1084
307	481	1082
308	482	1079
309	483	1077
310	485	1074
311	486	1072
312	487	1069
313	488	1067
314	489	1065
315	490	1062
316	492	1060
317	493	1058
318	494	1055
319	495	1053
320	496	1050
321	498	1048
322	499	1046
323	500	1043
324	501	1041
325	502	1039
326	503	1036
327	505	1034
328	505	1031
329	506	1028
330	507	1026
331	509	1024
332	510	1022
333	511	1019
334	512	1017
335	513	1014
336	514	1012
337	515	1010
338	516	1007
339	518	1005
340	519	1003
341	520	1001
342	521	998
343	522	996
344	523	994
345	524	992
346	525	989
347	527	987
348	528	985
349	529	982
350	530	980
351	531	978
352	532	976
353	533	974
354	534	971
355	535	969
356	536	967
357	538	965
358	539	963
359	540	961
360	541	958
361	542	956
362	543	954
363	545	952
364	546	950
365	547	948
366	548	946
367	549	944
368	551	942
369	552	940
370	553	938
371	554	936
372	555	934
373	556	932
374	557	929
375	559	927
376	560	925
377	561	923
378	562	921
379	563	919
380	564	917
381	565	915
382	566	913
383	568	911
384	569	909
385	569	906
386	570	903
387	571	901
388	572	899
389	573	896
390	574	894
391	575	892
392	576	890
393	577	888
394	578	886
395	579	884
396	581	882
397	582	880
398	583	878
399	584	876
400	585	874
401	586	872
402	587	870
403	588	868
404	589	866
405	591	864
406	592	862
407	593	860
408	594	858
409	595	857
410	596	855
411	598	853
412	599	851
413	600	849
414	601	847
415	602	845
416	603	844
417	605	842
418	606	840
419	607	838
420	607	836
421	609	834
422	610	832
423	611	831
424	612	829
425	614	827
426	615	825
427	616	823
428	617	821
429	618	819
430	619	817
431	620	815
432	621	813
433	622	811
434	623	809
435	624	807
436	625	805
437	626	804
438	627	802
439	629	800
440	630	798
441	631	796
442	632	794
443	632	792
444	633	790
445	634	788
446	635	786
447	636	784
448	637	782
449	638	780
450	639	778
451	640	776
452	641	774
453	642	772
454	643	770
455	644	768
456	645	766
457	646	764
458	647	762
459	656	770
460	657	768
461	658	767
462	659	765
463	661	763
464	662	761
465	663	759
466	663	757
467	664	755
468	666	754
469	667	752
470	668	750
471	669	748
472	670	746
473	671	744
474	672	742
475	673	740
476	674	739
477	675	737
478	676	735
479	677	733
480	678	732
481	679	730
482	680	728
483	681	726
484	682	724
485	683	722
486	684	720
487	685	718
488	685	716
489	687	715
490	687	713
491	689	711
492	690	709
493	691	708
494	692	706
495	693	704
496	694	703
497	695	701
498	696	699
499	698	698
500	699	696
501	700	695
502	701	693
503	702	691
504	703	689
505	704	688
506	706	686
507	707	684
508	708	683
509	709	681
510	710	679
511	711	678
512	712	676
513	713	674
514	714	673
515	715	671
516	716	669
517	717	667
518	718	665
519	719	663
520	720	662
521	721	660
522	722	659
523	723	657
524	725	656
525	726	654
526	727	652
527	728	650
528	729	649
529	730	648
530	731	646
531	732	644
532	733	643
533	734	641
534	735	639
535	736	637
536	738	636
537	739	634
538	740	633
539	741	631
540	743	630
541	743	628
542	745	627
543	746	625
544	747	624
545	748	622
546	750	621
547	751	619
548	752	618
549	754	616
550	755	615
551	756	614
552	758	612
553	760	611
554	762	611
555	763	609
556	765	608
557	766	607
558	767	605
559	769	604
560	770	602
561	771	601
562	772	599
563	773	598
564	775	596
565	776	595
566	777	594
567	779	592
568	780	591
569	781	589
570	783	588
571	784	586
572	785	585
573	787	584
574	789	583
575	790	581
576	791	580
577	792	578
578	793	577
579	795	575
580	796	574
581	797	572
582	798	571
583	799	569
584	800	568
585	801	566
586	803	565
587	804	564
588	806	562
589	808	561
590	809	560
591	811	559
592	812	557
593	813	556
594	814	554
595	816	553
596	817	551
597	818	550
598	819	548
599	820	547
600	821	545
601	822	543
602	823	542
603	825	540
604	825	539
605	826	537
606	828	536
607	829	534
608	830	533
609	831	531
610	832	530
611	833	528
612	834	526
613	835	525
614	836	523
615	838	522
616	839	520
617	840	519
618	841	517
619	842	516
620	843	514
621	844	512
622	845	511
623	846	509
624	847	508
625	849	507
626	850	505
627	851	504
628	852	502
629	853	501
630	854	499
631	855	498
632	856	496
633	857	495
634	858	493
635	859	492
636	860	490
637	861	488
638	862	487
639	863	485
640	864	484
641	866	482
642	867	481
643	868	479
644	869	478
645	870	476
646	871	475
647	872	473
648	873	472
649	874	470
650	875	469
651	876	467
652	877	466
653	878	464
654	879	463
655	880	461
656	881	460
657	882	458
658	883	457
659	884	455
660	886	454
661	887	452
662	888	451
663	888	449
664	889	448
665	891	446
666	892	445
667	893	443
668	894	442
669	895	441
670	896	439
671	897	438
672	898	436
673	899	435
674	900	433
675	901	432
676	902	430
677	903	429
678	904	427
679	905	426
680	906	424
681	907	422
682	908	421
683	909	419
684	910	418
685	911	417
686	912	415
687	913	414
688	915	413
689	916	411
690	917	410
691	918	408
692	919	407
693	920	405
694	921	404
695	922	402
696	923	401
697	924	400
698	926	398
699	927	397
700	928	395
701	929	394
702	930	393
703	931	391
704	932	390
705	933	388
706	935	387
707	935	385
708	936	384
709	937	383
710	938	381
711	939	380
712	940	378
713	941	377
714	943	375
715	944	374
716	945	373
717	946	371
718	947	370
719	948	368
720	950	367
721	951	366
722	952	364
723	953	363
724	954	362
725	956	360
726	957	359
727	958	358
728	960	356
729	961	355
730	962	354
731	963	352
732	964	351
733	966	350
734	967	348
735	968	347
736	969	345
737	970	344
738	971	343
739	972	341
740	973	340
741	975	339
742	976	337
743	977	336
744	978	334
745	979	333
746	981	332
747	982	330
748	983	329
749	984	328
750	985	326
751	986	325
752	988	324
753	989	322
754	990	321
755	991	320
756	993	318
757	994	317
758	995	316
759	996	314
760	997	313
761	998	311
762	1000	310
763	1001	309
764	1002	308
765	1004	306
766	1006	305
767	1007	304
768	1009	303
769	1010	301
770	1012	300
771	1013	299
772	1015	298
773	1016	296
774	1017	295
775	1018	294
776	1020	292
777	1021	291
778	1022	290
779	1024	288
780	1025	287
781	1027	286
782	1028	285
783	1030	283
784	1031	282
785	1032	281
786	1034	279
787	1035	278
788	1036	277
789	1037	275
790	1039	274
791	1040	273
792	1042	272
793	1044	270
794	1045	269
795	1047	268
796	1048	267
797	1049	265
798	1050	264
799	1052	263
800	1053	261
801	1054	260
802	1056	259
803	1057	257
804	1058	256
805	1059	255
806	1060	253
807	1061	252
808	1063	250
809	1064	249
810	1065	248
811	1066	246
812	1068	245
813	1069	244
814	1071	243
815	1072	241
816	1074	240
817	1075	239
818	1076	237
819	1078	236
820	1079	235
821	1080	234
822	1082	232
823	1083	231
824	1085	230
825	1087	229
826	1088	227
827	1090	226
828	1091	225
829	1092	223
830	1094	222
831	1095	221
832	1097	220
833	1099	218
834	1100	217
835	1101	216
836	1103	214
837	1104	213
838	1106	212
839	1107	211
840	1109	209
841	1110	208
842	1112	207
843	1113	205
844	1115	204
845	1116	203
846	1118	201
847	1119	200
848	1120	199
849	1122	198
850	1123	196
851	1124	195
852	1126	194
853	1127	192
854	1128	191
855	1130	190
856	1131	188
857	1133	187
858	1134	186
859	1135	184
860	1137	183
861	1138	182
862	1140	181
863	1141	179
864	1142	178
865	1144	177
866	1145	175
867	1146	174
868	1147	173
869	1149	171
870	1150	170
871	1151	169
872	1152	167
873	1153	166
874	1154	164
875	1156	163
876	1157	162
877	1158	161
878	1159	159
879	1160	158
880	1161	156
881	1162	155
882	1163	154
883	1165	152
884	1166	151
885	1167	150
886	1169	148
887	1170	147
888	1171	146
889	1172	144
890	1173	143
891	1175	142
892	1176	140
893	1177	139
894	1178	138
895	1180	136
896	1181	135
897	1182	134
898	1184	133
899	1185	131
900	1186	130
901	1188	129
902	1189	127
903	1190	126
904	1192	125
905	1193	123
906	1194	122
907	1196	121
908	1197	119
909	1198	118
910	1200	117
911	1201	115
912	1202	114
913	1204	113
914	1206	112
915	1207	110
916	1208	109
917	1209	108
918	1211	106
919	1212	105
920	1214	104
921	1215	102
922	1217	101
923	1218	100
924	1220	98
925	1221	97
926	1222	96
927	1224	94
928	1225	93
929	1227	92
930	1229	91
931	1230	89
932	1232	88
933	1233	87
934	1235	85
935	1236	84
936	1238	83
937	1239	81
938	1241	80
939	1242	79
940	1243	77
941	1245	76
942	1246	75
943	1247	74
944	1248	72
945	1249	71
946	1250	69
947	1251	68
948	1253	67
949	1254	66
950	1255	64
951	1256	63
952	1257	62
953	1258	60
954	1259	59
955	1261	58
956	1262	56
957	1263	55
958	1264	54
959	1265	52
960	1267	51
961	1268	50
962	1269	48
963	1270	47
964	1271	46
965	1271	44
966	1272	43
967	1274	42
968	1275	40
969	1276	39
970	1277	38
971	1278	36
972	1279	35
973	1280	34
974	1281	32
975	1283	31
976	1284	30
977	1285	28
978	1286	27
979	1287	26
980	1288	24
981	1289	23
982	1291	22
983	1292	21
984	1293	19
985	1294	18
986	1295	17
987	1296	15
988	1297	14
989	1298	13
990	1299	11
991	1300	10
992	1301	9
993	1303	7
994	1303	6
995	1304	5
996	1306	3
997	1307	2
998	1308	1
999	1309	0
